Timestamp,Temperature_Celsius(°C),External_Temp(°C)
2024-11-30 00:00:00,19.91,-0.54
2024-11-30 00:30:00,19.24,-2.23
2024-11-30 01:00:00,18.44,-1.66
2024-11-30 01:30:00,19.26,2.69
2024-11-30 02:00:00,17.99,1.81
2024-11-30 02:30:00,17.91,2.55
2024-11-30 03:00:00,16.4,2.97
2024-11-30 03:30:00,16.84,-0.19
2024-11-30 04:00:00,17.43,-2.42
2024-11-30 04:30:00,17.12,3.46
2024-11-30 05:00:00,16.52,0.04
2024-11-30 05:30:00,16.6,1.6
2024-11-30 06:00:00,16.33,4.27
2024-11-30 06:30:00,16.79,2.88
2024-11-30 07:00:00,16.5,3.66
2024-11-30 07:30:00,16.59,6.54
2024-11-30 08:00:00,16.23,8.75
2024-11-30 08:30:00,16.59,6.14
2024-11-30 09:00:00,17.36,8.23
2024-11-30 09:30:00,17.54,4.35
2024-11-30 10:00:00,17.8,7.99
2024-11-30 10:30:00,17.09,7.08
2024-11-30 11:00:00,17.27,9.07
2024-11-30 11:30:00,17.3,7.73
2024-11-30 12:00:00,18.03,9.99
2024-11-30 12:30:00,17.68,8.16
2024-11-30 13:00:00,18.51,8.63
2024-11-30 13:30:00,18.03,7.42
2024-11-30 14:00:00,18.14,9.33
2024-11-30 14:30:00,18.28,5.78
2024-11-30 15:00:00,18.79,7.55
2024-11-30 15:30:00,18.22,7.39
2024-11-30 16:00:00,18.85,6.82
2024-11-30 16:30:00,18.22,5.79
2024-11-30 17:00:00,18.4,8.12
2024-11-30 17:30:00,18.9,2.79
2024-11-30 18:00:00,19.37,3.3
2024-11-30 18:30:00,20.0,1.62
2024-11-30 19:00:00,19.0,1.34
2024-11-30 19:30:00,19.1,3.41
2024-11-30 20:00:00,20.14,2.57
2024-11-30 20:30:00,20.01,-0.74
2024-11-30 21:00:00,19.5,1.64
2024-11-30 21:30:00,19.26,-3.62
2024-11-30 22:00:00,19.04,2.29
2024-11-30 22:30:00,19.3,1.2
2024-11-30 23:00:00,18.78,1.23
2024-11-30 23:30:00,18.11,2.5
2024-12-01 00:00:00,18.41,2.62
2024-12-01 00:30:00,17.52,0.64
2024-12-01 01:00:00,17.79,-4.83
2024-12-01 01:30:00,18.02,-1.94
2024-12-01 02:00:00,17.4,1.45
2024-12-01 02:30:00,17.18,2.35
2024-12-01 03:00:00,17.24,-0.78
2024-12-01 03:30:00,16.45,1.54
2024-12-01 04:00:00,16.62,0.03
2024-12-01 04:30:00,16.13,4.16
2024-12-01 05:00:00,16.5,2.26
2024-12-01 05:30:00,16.04,4.47
2024-12-01 06:00:00,15.26,3.09
2024-12-01 06:30:00,15.29,3.92
2024-12-01 07:00:00,15.0,4.9
2024-12-01 07:30:00,15.17,5.15
2024-12-01 08:00:00,15.0,5.44
2024-12-01 08:30:00,16.26,6.42
2024-12-01 09:00:00,16.69,7.62
2024-12-01 09:30:00,17.33,9.74
2024-12-01 10:00:00,16.95,7.18
2024-12-01 10:30:00,16.37,5.91
2024-12-01 11:00:00,16.39,9.13
2024-12-01 11:30:00,16.91,4.31
2024-12-01 12:00:00,18.83,3.05
2024-12-01 12:30:00,18.37,5.84
2024-12-01 13:00:00,17.91,6.72
2024-12-01 13:30:00,18.1,7.47
2024-12-01 14:00:00,18.19,5.61
2024-12-01 14:30:00,19.47,9.16
2024-12-01 15:00:00,18.89,7.96
2024-12-01 15:30:00,19.21,4.95
2024-12-01 16:00:00,19.66,5.63
2024-12-01 16:30:00,20.07,4.01
2024-12-01 17:00:00,20.25,8.17
2024-12-01 17:30:00,20.52,4.03
2024-12-01 18:00:00,20.93,4.22
2024-12-01 18:30:00,20.91,5.9
2024-12-01 19:00:00,20.76,3.73
2024-12-01 19:30:00,20.7,4.43
2024-12-01 20:00:00,21.57,2.43
2024-12-01 20:30:00,21.3,3.02
2024-12-01 21:00:00,21.95,1.52
2024-12-01 21:30:00,20.9,2.33
2024-12-01 22:00:00,20.6,-3.06
2024-12-01 22:30:00,19.26,3.97
2024-12-01 23:00:00,19.5,0.67
2024-12-01 23:30:00,19.25,-1.77
2024-12-02 00:00:00,18.57,0.01
2024-12-02 00:30:00,17.84,2.56
2024-12-02 01:00:00,17.16,-0.41
2024-12-02 01:30:00,17.67,2.24
2024-12-02 02:00:00,16.9,-0.16
2024-12-02 02:30:00,15.55,-1.81
2024-12-02 03:00:00,15.39,4.4
2024-12-02 03:30:00,16.61,2.66
2024-12-02 04:00:00,15.55,2.01
2024-12-02 04:30:00,15.43,5.88
2024-12-02 05:00:00,16.35,3.2
2024-12-02 05:30:00,15.9,0.76
2024-12-02 06:00:00,17.3,3.87
2024-12-02 06:30:00,17.78,-0.03
2024-12-02 07:00:00,17.82,2.44
2024-12-02 07:30:00,18.48,6.79
2024-12-02 08:00:00,17.52,8.79
2024-12-02 08:30:00,17.93,4.4
2024-12-02 09:00:00,17.22,10.65
2024-12-02 09:30:00,17.4,6.17
2024-12-02 10:00:00,16.44,5.52
2024-12-02 10:30:00,16.58,7.68
2024-12-02 11:00:00,17.52,8.44
2024-12-02 11:30:00,17.57,4.86
2024-12-02 12:00:00,17.51,9.88
2024-12-02 12:30:00,17.52,5.82
2024-12-02 13:00:00,16.38,9.51
2024-12-02 13:30:00,16.61,6.95
2024-12-02 14:00:00,16.87,6.16
2024-12-02 14:30:00,17.95,4.64
2024-12-02 15:00:00,17.74,5.86
2024-12-02 15:30:00,16.76,5.64
2024-12-02 16:00:00,17.24,6.21
2024-12-02 16:30:00,16.59,2.19
2024-12-02 17:00:00,17.75,3.39
2024-12-02 17:30:00,19.54,6.55
2024-12-02 18:00:00,20.33,6.78
2024-12-02 18:30:00,19.47,-0.78
